        size,          ops,         time,      op/time
        1024,    156250000,     0.376066,  4.15486e+08
        2048,    156249984,     0.332030,   4.7059e+08
        3072,    156249984,     0.300874,   5.1932e+08
        4096,    156249984,     0.344656,  4.53351e+08
        5120,    156250000,     0.308469,  5.06534e+08
        6144,    156249984,     0.298639,  5.23207e+08
        7168,    156249968,     0.279367,    5.593e+08
        8192,    156249984,     0.267772,  5.83519e+08
        9216,    156249936,     0.309142,  5.05431e+08
       10240,    156249920,     0.269299,   5.8021e+08
       11264,    156249984,     0.269316,  5.80173e+08
       12288,    156249984,     0.275359,  5.67441e+08
       13312,    156249808,     0.265075,  5.89455e+08
       14336,    156249856,     0.279209,  5.59616e+08
       15360,    156249840,     0.275196,  5.67777e+08
       16384,    156249856,     0.267153,   5.8487e+08
       17408,    156249856,     0.265782,  5.87887e+08
       18432,    156249792,     0.278532,  5.60976e+08
       19456,    156249920,     0.261874,  5.96661e+08
       20480,    156249920,     0.278097,  5.61854e+08
       21504,    156249744,     0.276940,  5.64201e+08
       22528,    156249984,     0.292283,  5.34585e+08
       23552,    156249856,     0.267666,  5.83749e+08
       24576,    156249984,     0.298664,  5.23163e+08
       25600,    156250000,     0.272180,  5.74069e+08
       26624,    156249600,     0.294925,  5.29794e+08
       27648,    156249648,     0.292851,  5.33547e+08
       28672,    156249856,     0.278328,  5.61387e+08
       29696,    156249680,     0.269385,  5.80024e+08
       30720,    156249600,     0.272813,  5.72735e+08
       31744,    156249920,     0.269282,  5.80246e+08
       32768,    156249600,     0.272854,  5.72649e+08
       33792,    156249984,     0.271472,  5.75566e+08
       34816,    156249856,     0.292631,  5.33948e+08
       35840,    156249520,     0.303241,  5.15265e+08
       36864,    156249792,     0.312699,  4.99681e+08
       37888,    156249520,     0.295212,  5.29279e+08
       38912,    156249920,     0.316060,  4.94368e+08
       39936,    156249600,     0.306941,  5.09054e+08
       40960,    156249600,     0.311561,  5.01506e+08
       41984,    156249360,     0.326575,  4.78449e+08
       43008,    156249408,     0.306709,  5.09439e+08
       44032,    156249616,     0.299102,  5.22396e+08
       45056,    156249984,     0.304217,  5.13614e+08
       46080,    156249360,     0.353194,   4.4239e+08
       47104,    156249856,     0.309886,  5.04217e+08
       48128,    156249808,     0.295593,  5.28598e+08
       49152,    156249600,     0.324118,  4.82076e+08
       50176,    156249632,     0.305458,  5.11526e+08
       51200,    156249600,     0.302285,  5.16895e+08
       52224,    156249312,     0.302770,  5.16066e+08
       53248,    156249600,     0.314331,  4.97086e+08
       54272,    156249936,     0.307698,  5.07803e+08
       55296,    156249216,     0.295828,  5.28176e+08
       56320,    156249280,     0.300088,  5.20678e+08
       57344,    156249856,     0.324593,  4.81372e+08
       58368,    156249312,     0.306877,  5.09159e+08
       59392,    156249216,     0.295967,  5.27928e+08
       60416,    156249936,     0.296142,  5.27618e+08
       61440,    156249600,     0.318623,   4.9039e+08
       62464,    156249792,     0.305381,  5.11655e+08
       63488,    156249920,     0.304503,  5.13131e+08
       64512,    156249072,     0.306863,  5.09182e+08
       65536,    156249088,     0.317231,   4.9254e+08
       66560,    156249600,     0.302928,  5.15798e+08
       67584,    156249984,     0.327642,  4.76892e+08
       68608,    156249360,     0.312821,  4.99485e+08
       69632,    156249856,     0.319166,  4.89557e+08
       70656,    156249120,     0.295400,  5.28941e+08
       71680,    156248960,     0.314493,  4.96828e+08
       72704,    156249984,     0.311326,  5.01885e+08
       73728,    156249216,     0.305253,  5.11868e+08
       74752,    156249200,     0.296203,  5.27507e+08
       75776,    156248928,     0.301563,   5.1813e+08
       76800,    156249600,     0.300446,  5.20059e+08
       77824,    156249920,     0.301851,  5.17639e+08
       78848,    156249632,     0.296422,  5.27119e+08
       79872,    156249600,     0.305067,  5.12181e+08
       80896,    156249360,     0.304772,  5.12676e+08
